R,log_average_c
348,-16.946335502628184
317,-17.942644860242563
351,-17.16284387129482
300,-17.18395516779763
256,-17.64466931349443
342,-16.355679627097416
300,-16.935208282328574
296,-16.574789785676497
309,-17.073811647899532
319,-17.257530184379284
271,-18.359972288705393
311,-16.76578060454779
369,-16.27319819759119
360,-16.554280647308516
321,-16.709842342780014
311,-16.413745919660446
339,-17.52500902596016
340,-17.495296949249035
319,-16.72514022371412
258,-18.324536944917593
339,-15.923700805381651
356,-17.178198175542185
290,-16.934639706777897
370,-16.29577688402825
303,-16.354860148199535
324,-16.783100510684495
303,-17.607859263420174
286,-17.72302315649762
329,-17.61100001939203
304,-17.17240767512374
312,-16.638132409063473
322,-17.332780078127612
348,-16.565525032455405
358,-16.58790393026389
273,-16.724930531329708
287,-17.926384422887427
296,-16.73278983095614
260,-17.08317618207148
303,-17.20384787727995
315,-16.612537754798566
309,-17.292345286814015
308,-16.62491405358069
295,-17.39457512525756
319,-17.539075511651202
354,-17.030134942873676
347,-17.8605648953714
325,-16.721317909173916
315,-16.781642386545386
303,-17.71507522986082
331,-16.496303888578286
346,-17.62078295686479
357,-16.442810531202444
311,-17.25753143500409
290,-16.933460450727374
245,-16.5548832327417
430,-17.10763704509628
354,-17.02624525492693
337,-17.322782493542643
326,-16.670542828642297
296,-17.723176264331325
284,-16.281206048573427
316,-17.55008897972149
291,-17.385042741828503
364,-16.340062046089756
368,-16.795554356599464
361,-16.594329692010714
329,-17.077924673240137
326,-16.759949256649815
240,-17.281246375004002
275,-16.943068262503267
309,-16.863360818722967
368,-16.67723500031212
375,-16.309129159437123
369,-16.686246213268575
313,-17.879718440435823
330,-17.126053755153404
299,-17.063945406519355
293,-16.577628295958
332,-15.312470355264393
320,-16.365219183065406
311,-17.395015129875826
401,-16.414224380110923
300,-17.035562318139057
285,-16.545539727160637
297,-17.367041802014068
338,-16.77561580941525
359,-16.45978379867238
363,-16.70284735927856
384,-16.60579877394857
355,-17.258673086684414
274,-16.87890147953947
317,-16.834377512030382
316,-17.13774486729005
307,-16.96476831558982
265,-17.377430424181245
295,-17.462916465069306
321,-17.30940237047664
318,-17.62031953740376
345,-17.115912255287896
