NoDear,pyRho
[-1.4478012],-50.199027019964355
[-0.56203014],-49.71641233709213
[-1.2915379],-50.177423564707574
[-1.0374669],-50.429070807715725
[-1.175374],-50.170797020143496
[-0.9288287],-52.71507547624735
[-1.1892284],-52.73383795663046
[-0.02581417],-52.73824373312872
[-1.0705775],-52.8890734320493
[-0.59362906],-50.56710866547391
[-0.8498857],-51.031298088177124
[-0.13615103],-53.20441840016566
[-1.0278146],-52.92082379498196
[-0.468116],-54.555899037495195
[-0.7539685],-52.25202132040287
[-0.14307329],-22.949617635946183
[-1.5742193],-53.12145648014249
[-0.25912413],-22.04662028312622
[1.3685516],-52.77250030989703
[-0.5343237],-50.354985543945325
[-0.9127108],-50.17955504435298
[-1.0425253],-50.23917250003926
[-0.50102234],-50.399908147466036
[-0.24499632],-50.30616101841923
[-0.97222644],-52.844068693605294
[-0.68278944],-54.493036728714216
[-0.5371782],-53.269815487851645
[-0.91653603],-50.200709331248085
[-0.82412136],-54.528166507760425
[1.8200953],-50.150591676021016
[-0.4319798],-52.87114201692943
[-0.12953196],-53.43346776116061
[-0.96502984],-54.31669964108769
[0.25950187],-52.96448831683016
[2.5486407],-22.014290522622023
[-0.40739393],-52.7228261753374
[4.086259],-50.02216754788708
[-0.78219426],-53.00658034313878
[-0.6469811],-50.61463703683129
[1.2175592],-22.489450983486734
[-0.48417202],-21.586574962293422
[0.4857895],-22.405303425139305
[0.14520061],-21.489896426610688
[0.22142938],-21.39416628439184
[1.6584469],-22.158706923924584
[3.424149],-21.080876255122032
[1.0455304],-52.5481793869098
[0.282562],-21.710015766475568
[2.0618339],-52.732992236890645
[1.7858703],-20.352150419316974
[4.7889495],-19.569406645035635
[0.4066035],-20.20560316612853
[0.33636147],-22.30389265970082
[4.9244504],-20.173953913674662
[7.5175767],-19.52593571186663
[3.1374645],-20.607008914618724
[0.32955116],-53.38203350753729
[-1.3369161],-19.287016743637192
[3.2297733],-20.0493611521093
[6.717234],-20.04648425478738
[2.8131888],-20.93243128132514
[1.7797962],-20.730363637102407
[3.6031942],-20.35437376388263
[4.8995123],-20.15402271954605
[1.0140808],-19.67813816922448
[-0.5082859],-19.31808459114919
[7.11794],-17.568929012261883
[7.5615573],-17.697645460803535
[8.1679125],-18.631749155763494
[7.45183],-17.45638056394336
[6.007123],-17.438425040669877
[7.773684],-17.718233474478463
[7.7530084],-17.813708812838193
[5.874292],-18.576615899963038
[6.9607077],-16.854729654965745
[5.7861805],-17.034388203805953
[7.480937],-17.00495868247978
[6.7619996],-17.233401158309302
[1.1762432],-17.69443173250133
[7.82464],-17.529690597869735
[1.5003849],-16.856014923000334
[5.057381],-17.567901574314483
[2.1091516],-13.840203374936808
[5.7725897],-15.985336094743479
[7.1461816],-16.41355986029781
[6.1640987],-15.230554201952225
[6.5290103],-17.149593007122206
[6.4996815],-15.900927386720412
[7.6878223],-14.964066674621982
[7.4240103],-14.76871167198639
[6.200601],-14.364682381364904
[3.2604916],-16.250463183780848
[4.8550735],-15.072659538540783
[7.800431],-14.731801251935401
[8.455977],-15.386077684889976
[8.144744],-15.009433019971885
[7.3551264],-16.174790986508917
[5.0653634],-15.559203539385937
