R,log_rho
348,[2.9133615]
317,[-0.07523287]
351,[1.547347]
300,[0.4376723]
256,[1.3866171]
342,[3.4015555]
300,[2.6976218]
296,[-1.5082289]
309,[-0.98214674]
319,[4.8422914]
271,[2.6627295]
311,[3.3121245]
369,[3.7124093]
360,[1.8548901]
321,[1.4658874]
311,[2.782652]
339,[2.9623873]
340,[2.3640356]
319,[2.3695023]
258,[-0.5382241]
339,[-0.64575654]
356,[1.7080612]
290,[2.151079]
370,[3.0494356]
303,[4.5742536]
324,[7.1404614]
303,[2.25729]
286,[3.3208332]
329,[3.9237537]
304,[4.530248]
312,[5.5463285]
322,[3.006677]
348,[2.6193466]
358,[1.2321658]
273,[2.1453843]
287,[4.001361]
296,[-0.5825442]
260,[1.9930568]
303,[1.4766239]
315,[2.967501]
309,[3.0495381]
308,[3.260255]
295,[4.7623196]
319,[3.0319936]
354,[-0.7818534]
347,[2.2418482]
325,[3.3366973]
315,[3.4654582]
303,[0.1458691]
331,[0.9130503]
346,[4.0886946]
357,[0.63624805]
311,[2.2109487]
290,[3.7139194]
245,[0.6202962]
430,[1.4753253]
354,[3.8609045]
337,[3.6999025]
326,[0.39194974]
296,[1.1602843]
284,[2.8908355]
316,[-0.13272399]
291,[3.5801632]
364,[3.0783074]
368,[0.23800011]
361,[5.2338624]
329,[4.2282925]
326,[2.6361468]
240,[6.9583306]
275,[0.35331026]
309,[1.2250206]
368,[2.203873]
375,[2.3251467]
369,[2.5131474]
313,[0.36040497]
330,[3.8460414]
299,[3.2592545]
293,[0.7896525]
332,[1.948323]
320,[2.8576252]
311,[4.978322]
340,[2.461392]
401,[3.881477]
300,[3.697036]
285,[2.7032082]
297,[2.8704586]
338,[4.2285714]
359,[1.9463282]
363,[4.1174893]
384,[3.25962]
355,[3.444142]
274,[3.303519]
317,[1.558846]
316,[3.1204617]
307,[1.1848502]
265,[1.1245974]
295,[4.5157094]
321,[3.5363376]
318,[2.2078316]
345,[3.4569662]
