True_c,pyRho_C
-27.248519301507937,-50.199027019964355
-26.205761531832714,-49.71641233709213
-25.436211491722798,-50.177423564707574
-25.37107538606334,-50.429070807715725
-26.83872627834923,-50.170797020143496
-27.36224643071134,-52.71507547624735
-26.241147960323687,-52.73383795663046
-26.840496049777304,-52.73824373312872
-25.590793330011795,-52.8890734320493
-26.799667279517937,-50.56710866547391
-25.646545749115447,-51.031298088177124
-25.37006017274672,-53.20441840016566
-25.38406215918907,-52.92082379498196
-25.372827300037002,-54.555899037495195
-26.297999588209308,-52.25202132040287
-27.057787294108323,-22.949617635946183
-23.948830539131084,-53.12145648014249
-23.614042801698382,-22.04662028312622
-23.110971786673254,-52.77250030989703
-24.135570174203895,-50.354985543945325
-25.181959896294618,-50.17955504435298
-23.68142481679265,-50.23917250003926
-23.41002616033058,-50.399908147466036
-24.942112786106232,-50.30616101841923
-23.04903498535105,-52.844068693605294
-24.91204709321645,-54.493036728714216
-23.234626710058638,-53.269815487851645
-24.383950930211196,-50.200709331248085
-23.033650390696973,-54.528166507760425
-24.036503182426326,-50.150591676021016
-23.36437781474641,-52.87114201692943
-25.20040978791921,-53.43346776116061
-24.456523291878675,-54.31669964108769
-23.354284136523805,-52.96448831683016
-21.343541436352446,-22.014290522622023
-22.225879686507522,-52.7228261753374
-21.186626232616145,-50.02216754788708
-22.416477780483422,-53.00658034313878
-21.694857682078034,-50.61463703683129
-21.270192936864905,-22.489450983486734
-20.773083234714534,-21.586574962293422
-21.18808634921313,-22.405303425139305
-21.01027544962332,-21.489896426610688
-20.777342919890597,-21.39416628439184
-21.333881531199673,-22.158706923924584
-20.792930112880377,-21.080876255122032
-21.023826609299796,-52.5481793869098
-20.755179396963,-21.710015766475568
-20.609777335893373,-52.732992236890645
-19.500418773032855,-20.352150419316974
-19.13074676059644,-19.569406645035635
-18.684024055672467,-20.20560316612853
-20.441840687256427,-22.30389265970082
-19.124048559466882,-20.173953913674662
-18.465071762117084,-19.52593571186663
-20.035429707363964,-20.607008914618724
-20.546506747410476,-53.38203350753729
-18.63098562207194,-19.287016743637192
-18.855948870965054,-20.0493611521093
-19.053916475208638,-20.04648425478738
-19.103171674891662,-20.93243128132514
-19.041336487196016,-20.730363637102407
-18.96480547370021,-20.35437376388263
-19.19280341035388,-20.15402271954605
-18.779923516347736,-19.67813816922448
-18.64518305797385,-19.31808459114919
-16.958362629089653,-17.568929012261883
-16.303138765607613,-17.697645460803535
-17.73170120185851,-18.631749155763494
-16.803229009248135,-17.45638056394336
-16.395743066527924,-17.438425040669877
-17.048540029043934,-17.718233474478463
-17.149997323117653,-17.813708812838193
-17.75756673964029,-18.576615899963038
-16.206898924879365,-16.854729654965745
-16.119526956862696,-17.034388203805953
-16.201706342431674,-17.00495868247978
-16.462313592236082,-17.233401158309302
-16.848836090166373,-17.69443173250133
-16.50775627586339,-17.529690597869735
-16.38471537559231,-16.856014923000334
-16.74855439938082,-17.567901574314483
-13.850713012816367,-13.840203374936808
-14.749113667999643,-15.985336094743479
-15.845316214366697,-16.41355986029781
-14.01397608058104,-15.230554201952225
-16.106083554771505,-17.149593007122206
-14.761624781713186,-15.900927386720412
-14.282042784614559,-14.964066674621982
-14.090460131750229,-14.76871167198639
-13.822894752246848,-14.364682381364904
-15.112491205592784,-16.250463183780848
-14.45594964037492,-15.072659538540783
-13.906129620125123,-14.731801251935401
-14.842290969656524,-15.386077684889976
-14.115158425038256,-15.009433019971885
-15.52157894954964,-16.174790986508917
-14.824474714427232,-15.559203539385937
